league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,25.0,1,3,4,3,0,14,4,0.56,0.16,25,15,1,31,27,24,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,16.1,0,0,0,6,0,9,2,0.56,0.12,19,13,2,16,13,30,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,32.4,19,4,23,5,0,90,43,2.77,1.33,33,51,14,19,8,13,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,MF,18,0.5,0,0,0,0,0,1,0,2.14,0.0,3,1,0,0,0,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,9.9,0,0,0,1,0,5,1,0.51,0.1,7,2,1,2,20,7,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,36.0,0,1,1,5,0,0,0,0.0,0.0,0,2,0,0,0,0,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,1.1,0,0,0,0,0,1,0,0.92,0.0,2,3,0,1,0,4,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,7.6,1,4,5,0,0,11,5,1.44,0.66,7,12,1,29,2,8,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,29.6,3,1,4,8,1,44,11,1.49,0.37,39,47,0,9,49,44,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,23.5,10,4,14,5,0,60,24,2.55,1.02,11,23,4,3,5,16,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,5.7,1,0,1,0,0,9,3,1.57,0.52,8,3,1,11,7,13,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2.7,1,0,1,0,0,7,2,2.56,0.73,3,1,0,0,0,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,4.3,1,0,1,1,0,4,1,0.94,0.23,4,3,1,9,7,5,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,18.4,5,3,8,2,0,50,12,2.72,0.65,34,45,7,9,11,14,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Brighton,Harry Howell,ENG,MF,16,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,10.7,0,0,0,4,0,1,0,0.09,0.0,9,7,0,4,4,5,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,20.5,5,2,7,5,0,18,10,0.88,0.49,18,9,0,28,11,19,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1.9,0,0,0,1,0,2,1,1.06,0.53,3,1,0,8,2,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,32.9,1,1,2,8,1,17,5,0.52,0.15,25,24,0,11,25,29,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,2.0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,21.6,10,6,16,4,1,47,20,2.17,0.92,27,45,2,22,8,12,,,,,6,,,,,,,,,,
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,18.9,0,0,0,5,0,6,1,0.32,0.05,27,44,0,24,20,29,,,,,0,,,,,,,,,,
